Término,Tipo,Páginas Únicas,Porcentaje (%)
420,Sinónimo,123652,99.25
cheese,Sinónimo,271,0.22
drugs,Sinónimo,154,0.12
molly,Sinónimo,153,0.12
flake,Sinónimo,123,0.1
fent,Sinónimo,94,0.08
pcp,Sinónimo,74,0.06
X,Sinónimo,68,0.05
