ID Grupo,Nº Páginas,ADN Ontológico (Micro-temas)
Grupo 1,2964,"DRUGS (5.69%), HACKING (1.36%), FRAUD (1.21%), MARKETPLACE (0.79%), CARDING (0.51%)"
Grupo 2,444,"FRAUD (98.98%), HACKING (0.87%), CARDING (0.09%), DRUGS (0.03%), PHONE (0.01%)"
Grupo 3,536,"HACKING (78.53%), CARDING (13.89%), MARKETPLACE (5.10%), RANSOMWARE (0.82%), PHONE (0.75%)"
Grupo 4,346,"MARKETPLACE (99.27%), DRUGS (0.29%), CARDING (0.29%), PHONE (0.06%), FRAUD (0.05%)"
Grupo 5,347,"CARDING (99.48%), FRAUD (0.21%), HACKING (0.13%), MARKETPLACE (0.13%), PHONE (0.02%)"
Grupo 6,363,"PHONE (90.79%), MARKETPLACE (6.05%), HACKING (1.44%), DRUGS (0.49%), FRAUD (0.35%)"
