ID Grupo,Nº Páginas,ADN Ontológico (Micro-temas)
Grupo 1,2952,"DRUGS (5.55%), HACKING (1.32%), FRAUD (1.19%), MARKETPLACE (0.55%), CARDING (0.52%)"
Grupo 2,424,"CARDING (90.83%), HACKING (4.74%), MARKETPLACE (3.63%), PHONE (0.31%), FRAUD (0.30%)"
Grupo 3,445,"FRAUD (98.91%), HACKING (0.87%), CARDING (0.09%), PHONE (0.09%), DRUGS (0.03%)"
Grupo 4,470,"HACKING (86.34%), CARDING (7.43%), MARKETPLACE (2.57%), PHONE (1.53%), RANSOMWARE (0.85%)"
Grupo 5,404,"MARKETPLACE (92.33%), PHONE (5.41%), DRUGS (1.53%), CARDING (0.34%), HACKING (0.26%)"
Grupo 6,305,"PHONE (98.93%), HACKING (0.37%), WEAPON (0.33%), FRAUD (0.16%), RANSOMWARE (0.16%)"
