ID Cluster,Nº Páginas,Identidad Detectada (Ontología),Confianza (Menciones)
128,1,⚙️ Nodo Técnico / Infraestructura,0
129,1,⚙️ Nodo Técnico / Infraestructura,0
130,1,⚙️ Nodo Técnico / Infraestructura,0
131,1,⚙️ Nodo Técnico / Infraestructura,0
132,1,⚙️ Nodo Técnico / Infraestructura,0
133,1,⚙️ Nodo Técnico / Infraestructura,0
134,1,⚙️ Nodo Técnico / Infraestructura,0
135,1,⚙️ Nodo Técnico / Infraestructura,0
136,1,⚙️ Nodo Técnico / Infraestructura,0
137,1,⚙️ Nodo Técnico / Infraestructura,0
138,1,⚙️ Nodo Técnico / Infraestructura,0
139,1,⚙️ Nodo Técnico / Infraestructura,0
140,1,⚙️ Nodo Técnico / Infraestructura,0
141,1,⚙️ Nodo Técnico / Infraestructura,0
142,1,⚙️ Nodo Técnico / Infraestructura,0
143,1,⚙️ Nodo Técnico / Infraestructura,0
144,1,⚙️ Nodo Técnico / Infraestructura,0
145,1,⚙️ Nodo Técnico / Infraestructura,0
146,1,⚙️ Nodo Técnico / Infraestructura,0
147,1,⚙️ Nodo Técnico / Infraestructura,0
148,1,⚙️ Nodo Técnico / Infraestructura,0
149,1,⚙️ Nodo Técnico / Infraestructura,0
150,1,⚙️ Nodo Técnico / Infraestructura,0
151,1,⚙️ Nodo Técnico / Infraestructura,0
152,1,⚙️ Nodo Técnico / Infraestructura,0
153,1,⚙️ Nodo Técnico / Infraestructura,0
154,1,⚙️ Nodo Técnico / Infraestructura,0
155,1,⚙️ Nodo Técnico / Infraestructura,0
156,1,⚙️ Nodo Técnico / Infraestructura,0
157,1,⚙️ Nodo Técnico / Infraestructura,0
158,1,⚙️ Nodo Técnico / Infraestructura,0
159,1,⚙️ Nodo Técnico / Infraestructura,0
160,1,⚙️ Nodo Técnico / Infraestructura,0
161,1,⚙️ Nodo Técnico / Infraestructura,0
162,1,⚙️ Nodo Técnico / Infraestructura,0
163,1,⚙️ Nodo Técnico / Infraestructura,0
164,1,⚙️ Nodo Técnico / Infraestructura,0
165,1,⚙️ Nodo Técnico / Infraestructura,0
166,1,⚙️ Nodo Técnico / Infraestructura,0
167,1,⚙️ Nodo Técnico / Infraestructura,0
168,1,⚙️ Nodo Técnico / Infraestructura,0
169,1,⚙️ Nodo Técnico / Infraestructura,0
170,1,⚙️ Nodo Técnico / Infraestructura,0
171,1,⚙️ Nodo Técnico / Infraestructura,0
172,1,⚙️ Nodo Técnico / Infraestructura,0
173,1,⚙️ Nodo Técnico / Infraestructura,0
174,1,⚙️ Nodo Técnico / Infraestructura,0
175,1,⚙️ Nodo Técnico / Infraestructura,0
